framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
575,2.523030230530233e-15,5.436110712665207,1.0,1.0,0.17132631789671413,[  0 276],[ 47 291],[ 94 274],[143 266],[189 285],[238 284]
576,2.2936638459365755e-15,5.297430650203995,1.0,1.0,0.1714638223764243,[  0 276],[ 47 291],[ 94 274],[142 260],[188 279],[237 284]
577,2.0851489508514323e-15,5.145465379665597,1.0,1.0,0.005856313487426323,[  0 276],[ 45 297],[ 92 281],[140 268],[189 276],[238 276]
578,1.895589955319484e-15,4.979152418213879,1.0,1.0,-0.057238564841160494,[  0 276],[ 45 297],[ 92 281],[138 263],[185 278],[234 273]
579,0.005203505894652677,4.798935716681933,1.0,1.0,-0.06242629631527501,[  0 276],[ 45 297],[ 92 281],[138 263],[187 272],[236 273]
580,0.015609083645723843,4.60624876578549,1.0,1.0,-0.0778419169613823,[  0 276],[ 47 291],[ 94 274],[142 260],[190 273],[239 272]
581,0.03214523768864148,4.401774755411246,1.0,1.0,-0.14620854348931484,[  0 276],[ 47 291],[ 95 280],[141 261],[190 269],[239 269]
582,0.06046979077214068,4.186180356243629,1.0,1.0,-0.14620854348931484,[  0 276],[ 47 291],[ 95 280],[141 261],[190 269],[239 269]
583,0.09951107025616857,3.9606568709124232,1.0,1.0,-0.20043324490645092,[  0 276],[ 47 291],[ 94 274],[142 260],[191 267],[240 266]
584,0.15322434659678036,3.728517378988377,1.0,1.0,-0.20043324490645092,[  0 276],[ 47 291],[ 94 274],[142 260],[191 267],[240 266]
585,0.220275801897923,3.4931101736729366,1.0,1.0,-0.32725020477790145,[  0 276],[ 49 285],[ 96 268],[145 260],[194 261],[243 260]
586,0.3109816889696801,3.2546679183095666,1.0,1.0,-0.3277151588301806,[  0 276],[ 49 285],[ 96 268],[144 254],[193 261],[242 260]
587,0.4232338734740211,3.0161762850543385,1.0,1.0,-0.3219249688240768,[  0 276],[ 47 291],[ 94 274],[142 260],[191 261],[240 260]
588,0.5545472201892472,2.7807071672249197,1.0,1.0,-0.3274220584223712,[  0 276],[ 49 285],[ 97 274],[145 260],[194 261],[243 260]
589,0.7036886316051228,2.5491865386808303,1.0,1.0,-0.3165542963154874,[  0 276],[ 47 291],[ 91 269],[140 261],[189 262],[238 261]
590,0.8680493961936905,2.323075342533204,1.0,1.0,-0.26078356796415525,[  0 276],[ 47 291],[ 96 292],[139 268],[188 270],[237 264]
591,0.9901171978879997,2.1042278741863796,1.0,1.0,-0.2628760457005447,[  0 276],[ 47 291],[ 96 292],[139 268],[188 276],[236 264]
592,1.047057259525717,1.8935863568079654,1.0,1.0,-0.13781038553901154,[  0 276],[ 45 297],[ 94 292],[140 273],[189 275],[238 269]
593,1.0503572305603575,1.6929452775475642,1.0,1.0,-0.13781038553901154,[  0 276],[ 45 297],[ 94 292],[140 273],[189 275],[238 269]
594,1.015733958753514,1.5030215770504627,1.0,1.0,-0.14038772227700924,[  0 276],[ 47 291],[ 96 286],[144 273],[193 281],[241 269]
595,0.9550896401177913,1.3240739969276225,1.0,1.0,-0.1955105479449299,[  0 276],[ 47 291],[ 91 269],[140 267],[188 280],[236 267]
596,0.8843833215492513,1.1563920577362907,1.0,1.0,-0.1955105479449299,[  0 276],[ 47 291],[ 91 269],[140 267],[189 268],[238 267]
597,0.8045172299072672,0.9989497352397889,1.0,1.0,-0.17562915792064196,[  0 276],[ 47 291],[ 91 269],[140 267],[188 257],[236 268]
598,0.7313792999156974,0.8533455492692227,1.0,1.0,-0.19446011386587228,[  0 276],[ 47 291],[ 91 269],[140 261],[189 262],[238 267]
599,0.664890272650634,0.7191069045365527,1.0,1.0,-0.4209689142279899,[  0 276],[ 47 291],[ 89 263],[138 267],[187 263],[236 256]
600,0.6044457024096673,0.5921825554444066,1.0,1.0,-0.3198655424916913,[  0 276],[ 47 291],[ 89 263],[138 261],[187 262],[236 261]
601,0.5494960930996976,0.4734964613761332,1.0,1.0,-0.40195669307201615,[  0 276],[ 49 285],[ 93 262],[142 259],[191 259],[240 257]
602,0.4995419028179069,0.3621125374561206,1.0,1.0,-0.42185728457476673,[  0 276],[ 49 285],[ 93 262],[142 259],[191 253],[240 256]
603,0.45412900256173355,0.2570955783322166,1.0,1.0,-0.5441536098733691,[  0 276],[ 49 285],[ 93 262],[142 259],[191 253],[240 250]
604,0.41284454778339413,0.15693851960639132,1.0,1.0,-0.5313950736377727,[  0 276],[ 47 291],[ 95 280],[141 261],[190 257],[239 250]
605,0.375313225257631,0.061373532191123056,1.0,1.0,-0.5313950736377727,[  0 276],[ 47 291],[ 95 280],[141 261],[190 257],[239 250]
606,0.3411938411433009,-0.028287522761755432,1.0,1.0,-0.44197670721815474,[  0 276],[ 47 291],[ 96 286],[139 261],[188 268],[236 255]
607,0.31017621922118266,-0.11135568474239008,1.0,1.0,-0.39560833783839755,[  0 276],[ 47 291],[ 96 286],[142 267],[191 275],[237 257]
608,0.28197838111016604,-0.18787696884770774,1.0,1.0,-0.26794209711543227,[  0 276],[ 47 291],[ 96 286],[142 267],[189 281],[235 263]
609,0.25634398282742366,-0.25663068219835644,1.0,1.0,-0.27312982858954676,[  0 276],[ 49 285],[ 98 286],[144 267],[191 281],[237 263]
610,0.23303998438856696,-0.318541906139047,1.0,1.0,-0.20151587042868296,[  0 276],[ 47 291],[ 94 274],[143 272],[192 279],[240 266]
611,0.2118545312623336,-0.3740166411187365,1.0,1.0,-0.14557545375112377,[  0 276],[ 49 285],[ 98 286],[146 273],[195 281],[243 269]
612,0.1925950284203033,-0.4228486648464167,1.0,1.0,-0.07818346652873662,[  0 276],[ 47 291],[ 95 280],[144 272],[193 273],[242 272]
613,0.17508638947300298,-0.4664283193396222,1.0,1.0,-0.2090890098896795,[  0 276],[ 49 285],[ 98 280],[147 272],[195 285],[241 266]
614,0.15916944497545726,-0.5070181683018635,1.0,1.0,-0.09842027398594268,[  0 276],[ 47 291],[ 95 280],[144 272],[193 267],[242 271]
615,0.14469949543223387,-0.543345747609023,1.0,1.0,-0.16422123981955342,[  0 276],[ 47 291],[ 96 286],[142 267],[191 263],[240 268]
616,0.13154499584748533,-0.5759441473229128,1.0,1.0,-0.20014014449864156,[  0 276],[ 47 291],[ 95 280],[143 266],[192 267],[241 266]
617,0.1195863598613503,-0.6056421870158177,1.0,1.0,-0.31700227186255575,[  0 276],[ 47 291],[ 91 269],[140 267],[189 268],[238 261]
618,0.10871487260122754,-0.6345682201085756,1.0,1.0,-0.3442539286106573,[  0 276],[ 47 291],[ 95 280],[144 272],[192 261],[241 259]
619,0.0988317023647523,-0.6629072567576025,1.0,1.0,-0.40780714618679437,[  0 276],[ 47 291],[ 96 286],[142 267],[191 263],[240 256]
620,0.08984700214977483,-0.6884905386925199,1.0,1.0,-0.26794209711543227,[  0 276],[ 47 291],[ 96 286],[142 267],[189 281],[235 263]
621,0.08167909286343167,-0.7110400207418593,1.0,1.0,-0.27351415538878243,[  0 276],[ 47 291],[ 96 292],[142 273],[191 281],[237 263]
622,0.07425372078493787,-0.7297880607273967,1.0,1.0,-0.20694260299143918,[  0 276],[ 47 291],[ 95 280],[144 278],[193 285],[239 266]
